"","Country","Date","Recovered"
"150","Algeria",2020-01-24,0
"151","Algeria",2020-01-25,0
"152","Algeria",2020-01-26,0
"153","Algeria",2020-01-27,0
"154","Algeria",2020-01-28,0
"155","Algeria",2020-01-29,0
"156","Algeria",2020-01-30,0
"157","Algeria",2020-01-31,0
"158","Algeria",2020-02-01,0
"159","Algeria",2020-02-02,0
"160","Algeria",2020-02-03,0
"161","Algeria",2020-02-04,0
"162","Algeria",2020-02-05,0
"163","Algeria",2020-02-06,0
"164","Algeria",2020-02-07,0
"165","Algeria",2020-02-08,0
"166","Algeria",2020-02-09,0
"167","Algeria",2020-02-10,0
"168","Algeria",2020-02-11,0
"169","Algeria",2020-02-12,0
"170","Algeria",2020-02-13,0
"171","Algeria",2020-02-14,0
"172","Algeria",2020-02-15,0
"173","Algeria",2020-02-16,0
"174","Algeria",2020-02-17,0
"175","Algeria",2020-02-18,0
"176","Algeria",2020-02-19,0
"177","Algeria",2020-02-20,0
"178","Algeria",2020-02-21,0
"179","Algeria",2020-02-22,0
"180","Algeria",2020-02-23,0
"181","Algeria",2020-02-24,0
"182","Algeria",2020-02-25,0
"183","Algeria",2020-02-26,0
"184","Algeria",2020-02-27,0
"185","Algeria",2020-02-28,0
"186","Algeria",2020-02-29,0
"187","Algeria",2020-03-01,0
"188","Algeria",2020-03-02,0
"189","Algeria",2020-03-03,0
"190","Algeria",2020-03-04,0
"191","Algeria",2020-03-05,0
"192","Algeria",2020-03-06,0
"193","Algeria",2020-03-07,0
"194","Algeria",2020-03-08,0
"195","Algeria",2020-03-09,0
"196","Algeria",2020-03-10,0
"197","Algeria",2020-03-11,0
"198","Algeria",2020-03-12,0
"199","Algeria",2020-03-13,0
"200","Algeria",2020-03-14,0
"201","Algeria",2020-03-15,0
"202","Algeria",2020-03-16,0
"203","Algeria",2020-03-17,0
"204","Algeria",2020-03-18,0
"205","Algeria",2020-03-19,0
"206","Algeria",2020-03-20,0
"207","Algeria",2020-03-21,0
"208","Algeria",2020-03-22,0
"209","Algeria",2020-03-23,0
"210","Algeria",2020-03-24,0
"211","Algeria",2020-03-25,0
"212","Algeria",2020-03-26,0
"213","Algeria",2020-03-27,0
"214","Algeria",2020-03-28,0
"215","Algeria",2020-03-29,0
"216","Algeria",2020-03-30,0
"217","Algeria",2020-03-31,0
"218","Algeria",2020-04-01,0
"219","Algeria",2020-04-02,0
"220","Algeria",2020-04-03,0
"221","Algeria",2020-04-04,0
"222","Algeria",2020-04-05,0
"223","Algeria",2020-04-06,0
"224","Algeria",2020-04-07,0
"225","Algeria",2020-04-08,0
"226","Algeria",2020-04-09,0
"227","Algeria",2020-04-10,0
"228","Algeria",2020-04-11,0
"229","Algeria",2020-04-12,0
"230","Algeria",2020-04-13,0
"231","Algeria",2020-04-14,0
"232","Algeria",2020-04-15,0
"233","Algeria",2020-04-16,0
"234","Algeria",2020-04-17,0
"235","Algeria",2020-04-18,0
"236","Algeria",2020-04-19,0
"237","Algeria",2020-04-20,0
"238","Algeria",2020-04-21,0
"239","Algeria",2020-04-22,0
"240","Algeria",2020-04-23,0
"241","Algeria",2020-04-24,0
"242","Algeria",2020-04-25,0
"243","Algeria",2020-04-26,0
"244","Algeria",2020-04-27,0
"245","Algeria",2020-04-28,0
"246","Algeria",2020-04-29,0
"247","Algeria",2020-04-30,0
"248","Algeria",2020-05-01,0
"249","Algeria",2020-05-02,0
"250","Algeria",2020-05-03,0
"251","Algeria",2020-05-04,0
"252","Algeria",2020-05-05,0
"253","Andorra",2020-01-01,0
"254","Andorra",2020-01-02,0
"255","Andorra",2020-01-03,0
"256","Andorra",2020-01-04,0
"257","Andorra",2020-01-05,0
"258","Andorra",2020-01-06,0
"259","Andorra",2020-01-07,0
"260","Andorra",2020-01-08,0
"261","Andorra",2020-01-09,0
"262","Andorra",2020-01-10,0
"263","Andorra",2020-01-11,0
"264","Andorra",2020-01-12,0
"265","Andorra",2020-01-13,0
"266","Andorra",2020-01-14,0
"267","Andorra",2020-01-15,0
"268","Andorra",2020-01-16,0
"269","Andorra",2020-01-17,0
"270","Andorra",2020-01-18,0
"271","Andorra",2020-01-19,0
"272","Andorra",2020-01-20,0
"273","Andorra",2020-01-21,0
"274","Andorra",2020-01-22,0
"275","Andorra",2020-01-23,0
"276","Andorra",2020-01-24,0
"277","Andorra",2020-01-25,0
"278","Andorra",2020-01-26,0
"279","Andorra",2020-01-27,0
"280","Andorra",2020-01-28,0
"281","Andorra",2020-01-29,0
"282","Andorra",2020-01-30,0
"283","Andorra",2020-01-31,0
"284","Andorra",2020-02-01,0
"285","Andorra",2020-02-02,0
"286","Andorra",2020-02-03,0
"287","Andorra",2020-02-04,0
"288","Andorra",2020-02-05,0
"289","Andorra",2020-02-06,0
"290","Andorra",2020-02-07,0
"291","Andorra",2020-02-08,0
"292","Andorra",2020-02-09,0
"293","Andorra",2020-02-10,0
"294","Andorra",2020-02-11,0
"295","Andorra",2020-02-12,0
"296","Andorra",2020-02-13,0
"297","Andorra",2020-02-14,0
"298","Andorra",2020-02-15,0
"299","Andorra",2020-02-16,0
"300","Andorra",2020-02-17,0
"301","Andorra",2020-02-18,0
"302","Andorra",2020-02-19,0
"303","Andorra",2020-02-20,0
"304","Andorra",2020-02-21,0
"305","Andorra",2020-02-22,0
"306","Andorra",2020-02-23,0
"307","Andorra",2020-02-24,0
"308","Andorra",2020-02-25,0
"309","Andorra",2020-02-26,0
"310","Andorra",2020-02-27,0
"311","Andorra",2020-02-28,0
"312","Andorra",2020-02-29,0
"313","Andorra",2020-03-01,0
"314","Andorra",2020-03-02,0
"315","Andorra",2020-03-03,0
"316","Andorra",2020-03-04,0
"317","Andorra",2020-03-05,0
"318","Andorra",2020-03-06,0
"319","Andorra",2020-03-07,0
"320","Andorra",2020-03-08,0
"321","Andorra",2020-03-09,0
"322","Andorra",2020-03-10,0
"323","Andorra",2020-03-11,0
"324","Andorra",2020-03-12,0
"325","Andorra",2020-03-13,0
"326","Andorra",2020-03-14,0
"327","Andorra",2020-03-15,0
"328","Andorra",2020-03-16,0
"329","Andorra",2020-03-17,0
"330","Andorra",2020-03-18,0
"331","Andorra",2020-03-19,0
"332","Andorra",2020-03-20,0
"333","Andorra",2020-03-21,0
"334","Andorra",2020-03-22,0
